komentar,analisis
bahlil gobl,"1. Sentimen: Negatif. Alasan: Komentar ini menunjukkan kekesalahan terhadap pelestarian alam Raja Ampat, mengkritik perusakan alam tanpa menawarkan solusi.

2. Sentimen: Negatif. Alasan: Komentar ini menyentuh topik politik tanpa langkah yang konkret untuk membantu pelestarian alam Raja Ampat.

3. Sentimen: Tidak Relevan. Alasan: Komentar ""slay"" tidak berkaitan dengan isu kerusakan alam di Raja Ampat atau topik sosial yang disebutkan.

4. Sentimen: Positif. Alasan: Komentar ini mengkritik perusakan alam dan menunjukkan kepedulian terhadap isu kerusakan Raja Ampat dengan mengingatkan tentang bukti dan nilai argumen yang penting. Indikasi buzzer: Ya, karena menyangkal kegagalan atau kekurangan dalam menghadapi masalah.

5. Sentimen: Negatif. Alasan: Komentar ini menunjukkan kepeduliannya terhadap kemusnahan yang mungkin terjadi akibat perusakan alam, tetapi tidak menawarkan solusi atau langkah untuk mencegah kemusnahan.

6. Sentimen: Negatif. Alasan: Komentar ini menunjukkan kritikan terhadap figur politik yang mungkin terkait dengan perusakan alam tanpa menawarkan solusi konkret.

7. Sentimen: Negatif. Alasan: Komentar ini mengkritik perusakan alam Raja Ampat dengan menyebutkan nama individu dan menggambarkan keterlibatan korupsi dalam pelestarian alam.

8. Sentimen: Tidak Relevan. Alasan: Komentar ini berkaitan dengan separuh Papua dan tidak langsung mengusulkan isu kerusakan alam Raja Ampat.

9."
mantap gan terima kasih analisanya,"1. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: kerusakan alam; Alasan: Komentar 1 menunjukkan masalah sosial di Papua, bukan langganan khusus terhadap kerusakan alam Raja Ampat.

2. Sentimen: Negatif; Indikasi Buzzer: Ya; Topik: tambang nikel; Alasan: Komentar 2 menanyakan lokasi tambang nikel di Raja Ampat, menunjukkan kebimbangan tentang dampak industri tambang terhadap alam.

3. Sentimen: Tidak Relevan; Indikasi Buzzer: Tidak; Topik: konten settingan; Alasan: Komentar 3 menarik perhatian kepada influencer dan tidak berkaitan dengan kerusakan alam Raja Ampat.

4. Sentimen: Netral; Indikasi Buzzer: Tidak; Topik: isu sosial; Alasan: Komentar 4 menyampaikan pesan moral, tanpa terkait langsung dengan kerusakan alam.

5. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: kurang orang cerdas; Alasan: Komentar 5 mengkritik kebodohan dan kekurangan individu yang berkuasa, yang dapat melibatkan isu kerusakan alam.

6. Sentimen: Tidak Terinterpretasi; Indikasi Buzzer: Tidak; Topik: tidak relevan; Alasan: Komentar 6 terlihat sebagai frasa acak dan tidak berarti, tidak berkaitan dengan konten video.

7. Sentimen: Netral; Indikasi Buzzer: Tidak; Topik: konten settingan; Alasan: Komentar 7 berkisar tentang preferensi viewer terhadap konten dan logo, tanpa mengacu pada isu kerusakan alam.

8. Sentimen: Negatif; In"
gue tuju banget ferry bilang nih perintah udah ngeh risiko tambang nikel vs lestari raja ampat video viral berita nyebar luas ferry publik ramai ngomongin izin tambang cabut awas ketat audit lapang klhk menteri esdm inti gak salah dorong nikel clean mining serius transparan perintah nunjukin niat batal izin geopark monitor gag nikel area restorasi lingkung suara publik tokoh kayak ferry ngepush eksekusi biar cepat nyata moga suara kayak ngebuat otoritas gak henti bijak beneran eksekusi lapang raja ampat jaga bareng modal ngomong doang,"1. Komentar 1: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar tersebut membahas isu ilegal, seperti mafia, maling, dan korupsi, tanpa menyebutkan kerusakan alam.

2. Komentar 2: Sentimen Positif. Indikasi buzzer: Tidak. Topik: Kerusakan Alam / Isu Sosial. Alasan: Komentar ini menunjukkan kepedulian dan mendorong restorasi alam di Raja Ampat, walaupun gramer dan format tidak baik.

3. Komentar 3: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: Isu Ekonomi. Alasan: Komentar ini membahas isu ekonomi dan korupsi tanpa terhubung dengan kerusakan alam di Raja Ampat.

4. Komentar 4: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar ini tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam.

5. Komentar 5: Sentimen Tidak Relevan. Indikasi buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar ini seperti sebuah percakapan biasa tanpa kaitan dengan kerusakan alam atau pelestarian alam di Raja Ampat.

6. Komentar 6: Sentimen Negatif. Indikasi buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini mengkritik eksploitasi dan merdekaan Papua, yang bisa diinterpretasikan sebagai sentimen negatif terhadap kondisi sosial di wilayah tersebut.

7. Komentar 7: Sentimen Negatif. Indikasi"
ekonomi andal alampertambangan bangun jalankontruksi sisa masuk kantong udah simple kalimantan aja udah botak pohon air udah keruh air bening pasir nya liat kalo udah gak selamatin raja ampat kayak kalimantan,"1. **Komentar 1: ku baju orccp**
   - Sentimen: Netral
   - Indikasi Buzzer: Tidak
   - Topik: Konten settingan
   - Alasan: Komentar ini tidak menunjukkan sentimen terhadap kerusakan alam atau isu sosial, tetapi mengacu pada pakaian (baju orccp).

2. **Komentar 2: lucu negara laknat**
   - Sentimen: Negatif
   - Indikasi Buzzer: Tidak
   - Topik: Isu sosial
   - Alasan: Komentar ini menyalahkan negara dengan kata ""laknat"", menunjukkan sentimen negatif.

3. **Komentar 3: judul bahlul**
   - Sentimen: Negatif
   - Indikasi Buzker: Tidak
   - Topik: Konten settingan
   - Alasan: Komentar ini mengkritik judul video dengan kata ""bahlul"", tidak terkait dengan kerusakan alam.

4. **Komentar 4: bangsad perintah negeri mantap**
   - Sentimen: Positif
   - Indikasi Buzzer: Tidak
   - Topik: Isu sosial
   - Alasan: Komentar ini mendukung perintah negeri, menunjukkan kepedulian terhadap isu sosial.

5. **Komentar 5: salfok logo jersey nya**
   - Sentimen: Netral
   - Indikasi Buzzer: Tidak
   - Topik: Konten settingan
   - Alasan: Komentar ini berfokus pada hal-hal seperti logo jersey dan tidak mengaitkan kerusakan alam.

6. **Komentar 6: trending**
   - Sentimen: Netral
   - Indikasi Buzzer: Tidak
   - Topik: Konten settingan
   - Alasan: Komentar ini menyatakan video sedang menjadi trending, tidak menunjukkan sent"
nice sehat bang,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menyampaikan pendapat politik yang tidak terkait dengan kerusakan alam di Raja Ampat, berfokus lebih pada percakapan tentang kemerdekaan Papua dan kelangsungan Indonesia.

2. Komentar 2: Sentimen: Tidak Dapat Diukur. Indikasi Buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini hanya berisi huruf-huruf tanpa bermakna, tidak berkaitan dengan kerusakan alam atau diskusi yang disebutkan.

3. Komentar 3: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam. Alasan: Komentar ini mengkritik ""rakus"" dan ""dungu"" terhadap orang yang bertanggung jawab terhadap masalah alam di Raja Ampat, menunjukkan kekecewaan atau kekesalahan terhadap situasi.

4. Komentar 4: Sentimen: Tidak Dapat Diukur. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini membahas ""gejala Dutch disease"" dan ""rakyat masuk,"" yang lebih berkaitan dengan ekonomi dan sosial, bukan langganan langsung terhadap kerusakan alam.

5. Komentar 5: Sentimen: Tidak Dapat Diukur. Indikasi Buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini seperti memuat komentar atau reaksi singkat yang tidak berkaitan dengan kerusakan alam di Raja Ampat atau diskusi video.

6. Komentar 6: Sentimen: Tidak Dapat Diukur. Indikasi Buzzer: T"
sih viral bicara gak aktif likungan pergi raja ampat laku damping masyarakat tolak tambang aktif peduli koar koar saat lingkung rusak masyarakat bayar tuju aktifiktas tambang,"Hasil analisis untuk setiap komentar berikut:

1. Sentimen: Negatif. Komentar ini menunjukkan kekurangan hormat dan memburu-buru dengan kata-kata ""elit yg penghianat bangsa"", tidak menunjukkan kepedulian terhadap kerusakan alam.
2. Indikasi buzzer: Tidak. Komentar ini tidak mengandung unsur-unsur yang mencemarkan, seperti kata-kata kurang senonoh atau tuduhan palsu.
3. Topik: Isu sosial. Komentar ini berkonsentrasi pada kritik terhadap elite dan politik, dan tidak secara langsung membahas kerusakan alam.
4. Alasan: Komentar ini menunjukkan kekurangan hormat dan menyalahkan elite tanpa membahas isu alam.

2. Sentimen: Negatif. Komentar ini adalah ketawa tanpa konteks yang jelas, tidak menunjukkan kepedulian terhadap kerusakan alam.
3. Indikasi buzzer: Tidak. Komentar ini hanya berisi ketawa dan tidak mengandung unsur-unsur yang mencemarkan.
4. Topik: Konten settingan. Komentar ini tidak berkaitan dengan isu kerusakan alam atau pelestarian alam.
5. Alasan: Komentar ini hanya berisi ketawa dan tidak berkaitan dengan topik video.

3. Sentimen: Negatif. Komentar ini mengandung kritik sosial dan menunjukkan kekesalahan terhadap perilaku individu tanpa membahas kerusakan alam.
4. Indikasi buzzer: Tidak. Komentar ini tidak mengandung unsur-unsur yang mencemarkan.
5. Topik: Isu sosial. Komentar ini berkonsentrasi pada kritik terhadap perilaku sosial dan politik.
6. Alasan:"
dengerin ame ngerti doang ampe kudu nonton kali biar ngerti efek bego kayak mohon maklum,"1. Komentar 1: Sentimen Negatif. Ini menunjukkan kritikan terhadap perilaku ""Jawa"" yang disebutkan sebagai perusakan alam di berbagai pulau, tanpa memberikan solusi. Indikasi buzzer: Tidak, karena tidak mengacu langsung ke isu kerusakan alam. Topik: isu sosial. Alasan: Komentar ini mengkritik perilaku orang-orang Jawa tanpa mengacu langsung ke kerusakan alam, sehingga bukan sentimen langsung terhadap pelestarian alam.

2. Komentar 2: Sentimen Negatif. Komentar ini menyangkal seriusnya isu yang diusulukan dengan ""bule habis uang,"" yang tidak mengacu langsung ke kerusakan alam. Indikasi buzzer: Tidak, karena tidak mengacu langsung ke topik alam. Topik: tidak relevan. Alasan: Komentar ini fokus pada kritikan terhadap tingkat kekayaan dan pengeluaran masyarakat, bukan kerusakan alam.

3. Komentar 3: Sentimen Tidak Relevan. Komentar ini bertemakan kehilangan fokus pada keadaan kaos jersey opening, tanpa mengacu langsung ke kerusakan alam. Indikasi buzzer: Tidak, karena tidak mengacu langsung ke topik alam. Topik: konten settingan. Alasan: Komentar ini membahas kehilangan fokus pada acara, bukan isu alam.

4. Komentar 4: Sentimen Negatif. Komentar ini mengkritik korupsi dalam pengusaha ferry, yang dapat mengarah ke kerusakan alam akibat dari praktik-praktik pembangunan yang tidak terpercaya. Indikasi buzzer: Tidak, karena tidak menggunakan kata-kata buzzer. Topik: isu sosial."
ajg bahlil dkk gak mikir sesimple,"Hasil analisis bagi setiap komentar berikut:

1. Sentimen: Negatif. Komentar ini menunjukkan kekecewaan dan kekesalahan terhadap situasi di Raja Ampat, terutama terkait dengan tambang dan kerusakan alam.

2. Indikasi buzzer: Tidak.

3. Topik: Kerusakan alam. Komentar tersebut secara langsung berbicara tentang kerusakan alam di Raja Ampat, khususnya terkait dengan tambang dan efek negatifnya.

4. Alasan: Komentar ini menunjukkan sentimen negatif karena kata-kata seperti ""lingkung tambang,"" ""sadar puas,"" dan ""tanah jejal"" yang mengindikasikan kekecewaan dan kecemasan terhadap kerusakan alam yang dilakukan di Raja Ampat.

5. Sentimen: Negatif. Komentar ini tidak berkaitan dengan isu kerusakan alam di Raja Ampat, hanya bertanya tentang baju.

6. Indikasi buzzer: Tidak.

7. Topik: Isu sosial. Komentar ini terkait dengan kritik terhadap individu yang dianggap tidak berpihak terhadap pelestarian alam.

8. Sentimen: Positif. Komentar ini menggambarkan senang dan setuju dengan apa yang dibahas dalam video, mengajak orang lain untuk bersikap cerdas dan berpikir kritis.

9. Sentimen: Negatif. Komentar ini menunjukkan kekecewaan terhadap masyarakat yang dianggap tidak terlibat dalam pemecahan isu tambang di Raja Ampat dan kekurangan pemikiran mereka terhadap kerusakan alam.

10. Sentimen: Netral. Komentar ini hanya mengekspresikan reaksi tidak jelas (heh hmmm) tanpa berk"
bang lu fropesor money heast,"1. **Komentar 1:** Sentimen Negatif. Indikasi buzzer: Ya. Topik: Kerusakan alam. Alasan: Komentar ini menunjukkan kekecewaan terhadap pemasaran turisme yang mengabaikan aset alam yang sangat bernilai di Raja Ampat, yang dikembangkan sebagai inap area.

2. **Komentar 2:** Sentimen Tidak Terdeteksi. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini secara langsung tidak menunjukkan sentimen positif atau negatif terhadap kerusakan alam, tetapi menangkap peran negara dalam isu ini.

3. **Komentar 3:** Sentimen Negatif. Indikasi buzzer: Ya. Topik: Isu sosial. Alasan: Komentar ini mengkritik orang kaya yang dikatakan tidak peduli dengan masalah sosial dan ekonomi masyarakat miskin.

4. **Komentar 4:** Sentimen Negatif. Indikasi buzzer: Ya. Topik: Konten settingan / Kerusakan alam. Alasan: Komentar ini mengkritik ketidakampuhan menteri pariwisata dalam memecahkan masalah akses dan turisme yang mungkin menyebabkan kerusakan alam di Raja Ampat.

5. **Komentar 5:** Sentimen Negatif. Indikasi buzzer: Ya. Topik: Kerusakan alam / Isu sosial. Alasan: Komentar ini mengingatkan terhadap perjuangan kolonial dan mengingatkan bahwa aset alam seperti di Raja Ampat harus diawasi terhadap eksplorasi yang mungkin menghancurkannya.

6. **Komentar 6:** Sentimen Positif. Indikasi buzzer: Ya. Topik: Kerusakan alam. Alasan:"
harap orang kayak ferry dijakin ngobrol presiden ngewakilin generasi muda ga tau gimna biar masuk radar presiden diskusi,"1. Sentimen: Negatif; Indikasi Buzzer: Ya; Topik: Kerusakan Alam; Alasan: Komentar ini menyalahkan pelestarian alam dengan mengkritik ""rakyat Indonesia"" yang ""masuk surga jalur dizoli perintah"", menunjukkan kekurangan peduli terhadap kerusakan alam di Raja Ampat.

2. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: Isu Sosial; Alasan: Komentar ini mengkritik sistem pecah-pecah dan korupsi tanpa secara langsung menyebut kerusakan alam, menunjukkan kekurangan peduli terhadap isu alam.

3. Sentimen: Negatif; Indikasi Buzzer: Ya; Topik: Isu Sosial; Alasan: Komentar ini menunjukkan kekecewaan dengan menteri dan menyalahkan ""mafia"" yang ""jabat aset dengan korupsi"", menunjukkan kekurangan peduli terhadap kerusakan alam secara langsung.

4. Sentimen: Negatif; Indikasi Buzzer: Ya; Topik: Isu Sosial; Alasan: Komentar ini menyampaikan pesan yang agresif dan bersifat konfrontasi, yang tidak langsung berkaitan dengan kerusakan alam di Raja Ampat, tetapi menekankan isu korupsi dan perilaku negatif.

5. Sentimen: Negatif; Indikasi Buzzer: Ya; Topik: Kerusakan Alam; Alasan: Komentar ini menggunakan kata ""rusak"" dan memuji ""tambang ampo yang nyata jahat"", menunjukkan kekesalahan dan kekecewaan terhadap kerusakan alam di Raja Ampat.

6. Sentimen: Tidak Tentu; Indikasi Buzzer: Tidak; Topik: Tidak Relevan; Alasan:"
gue bela tambang lo hitung amatir aspek sebenernya ga lo timbang lo research putar uang ratus triliun masuk kantong aja ultimate beneficial owner beneficial owner dapat turisme raja ampat tourism provider usaha asing dominan singapur usa hasil raja ampat asumsi t konversi kurs asing parah nilai idr banding kelola pt gag nikel anak usaha pt antam tbk dividen putar domestik mudah reinvestasi bericara serap tenaga kerja banding turisme nikmat investor asing,"1. Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini menunjukkan kekecewaan dan kekeliruan terhadap kondisi alam Indonesia, khususnya di Raja Ampat, tanpa menyebutkan usaha pelestarian.

2. Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Isu Sosial, Alasan: Komentar ini menyimpulkan kekurangan adab dan perilaku orang-orang, yang tidak langsung terkait dengan kerusakan alam, tetapi menunjukkan isu sosial yang mungkin berkontribusi pada kerusakan alam akibat dari perilaku masyarakat.

3. Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Konten Settingan, Alasan: Komentar ini mencari kesalahan dalam konten video atau presentasi, tanpa membahas isu kerusakan alam.

4. Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini menyampaikan kesedihan dan kekecewaan mengenai keadaan alam Indonesia, terutama di Raja Ampat, yang menunjukkan sentimen negatif terhadap kerusakan alam.

5. Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini meminta keadilan dan perubahan dari pimpinan negara untuk melindungi alam, yang menunjukkan kekecewaan dan kepedulian terhadap kerusakan alam.

6. Sentimen: Negatif, Indikasi Buzzer: Tidak, Topik: Kerusakan Alam, Alasan: Komentar ini mengkritik pemerintah dan menyimpulkan kekurangan kepemimpinan, yang dilihat sebagai f"
bahlil banyak nonton brainrot sampe gabisa mikir,"1. Sentimen: Negative. Alasan: Komentar ini menunjukkan kekurangan kepedulian terhadap kerusakan alam, dengan fokus pada untung ekonomi industri pribadi di atas keberlanjutan kerusakan alam.

2. Sentimen: Negative. Alasan: Komentar ini menyalahkan perintah dan tidak menghargai implikasi kerusakan alam, terutama dengan pernyataan ""gak heran bnyak yng pisahbubar"".

3. Sentimen: Negative. Alasan: Komentar ini menunjukkan kekurangan kesadaran tentang masalah kerusakan alam, terutama dengan pernyataan ""ga sadar pas liat kaos tulis sssr"".

4. Sentimen: Negative. Alasan: Komentar ini mengkritik perintah dan menyalahkan gaya hidup, sifat egois, dan kebutuhan moral intelektual tanpa spiritual.

5. Sentimen: Negative. Alasan: Komentar ini menggunakan kata-kata kritik dan mengimplikasikan kegagalan moral dan spiritual, sangat negatif terhadap pelestarian alam.

6. Sentimen: Negative. Alasan: Komentar ini menyalahkan pendidikan dan menunjukkan kesulitan memahami masalah alam, menunjukkan kesulitan untuk memahami topik kerusakan alam.

7. Sentimen: Negative. Alasan: Komentar ini mengusulkan kerancakan industri minyak bumi (olah besi bahas biji nikel) sebagai penyebab kerusakan alam, menunjukkan kekurangan kepedulian terhadap alam.

8. Sentimen: Negative. Alasan: Komentar ini mengkritik perintah yang menyebabkan kerusakan alam dan mengimplikasikan keterlibatan mafia dalam industri tambang.

9. Sentimen: Positive (secara ringkas). Alasan: Komentar ini"
ferr gua ngikutin lu dah lumayan pns g vs mardigu one piece dst cuman susah gua gua simpul gua suara lu bulet iyaa ga sih,"1. Sentimen: Netral; Indikasi buzzer: Tidak; Topik: konten settingan; Alasan: Komentar ini terhubung dengan thumbnail video, bukan diskusi langsung tentang kerusakan alam di Raja Ampat.

2. Sentimen: Negatif; Indikasi buzzer: Tidak; Topik: perintah/kebijakan; Alasan: Komentar ini menunjukkan kekecewaan terhadap perintah yang dianggap rakus.

3. Sentimen: Negatif; Indikasi buzzer: Tidak; Topik: kerusakan alam; Alasan: Komentar ini menyimpulkan bahwa tawur rakyat menyebabkan kematian cak nun, yang dapat diinterpretasikan sebagai dampak negatif terhadap alam.

4. Sentimen: Negatif; Indikasi buzzer: Tidak; Topik: isu sosial; Alasan: ""bahlul"" dapat diinterpretasikan sebagai kritikan kepada individu atau kebijakan yang dianggap tidak berakal.

5. Sentimen: Negatif; Indikasi buzzer: Tidak; Topik: kerusakan alam; Alasan: Komentar ini menunjukkan kekecewaan terhadap tindakan yang dianggap tidak berhormat terhadap alam.

6. Sentimen: Negatif; Indikasi buzzer: Tidak; Topik: isu sosial; Alasan: ""bahlul"" kembali digunakan, menunjukkan kritikan atau kekecewaan terhadap individu atau kebijakan yang dianggap tidak berakal.

7. Sentimen: Netral; Indikasi buzzer: Tidak; Topik: analisis data; Alasan: Komentar ini menyentuh soal analisis data yang tidak dilakukan, bukan langsung diskusi tentang kerusakan alam.

8. Sentimen"
bangun jawa sja bangun jawa,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini mengindikasikan kesulitan atau kesulitan yang dihadapi oleh Kalimantan, yang dikaitkan dengan masalah Raja Ampat, menunjukkan kesulitan atau kekecewaan.

2. Komentar 2: Sentimen: Tidak terdeteksi. Indikasi Buzzer: Ya. Topik: Konten settingan. Alasan: Komentar ini berkonsentrasi pada isu pribadi dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

3. Komentar 3: Sentimen: Tidak terdeteksi. Indikasi Buzzer: Tidak. Topik: Kaburajadulu (tidak jelas kaitnya dengan kerusakan alam). Alasan: Komentar ini tidak mengusulkan topik kerusakan alam dan mungkin berkaitan dengan kebudayaan lokal atau komedi.

4. Komentar 4: Sentimen: Tidak terdeteksi. Indikasi Buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini berkonsentrasi pada pakaian dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

5. Komentar 5: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini menunjukkan kekecewaan atau kekhawatiran tentang situasi negara, yang dapat menunjukkan kerusakan alam sebagai salah satu isu yang menyebabkannya.

6. Komentar 6: Sentimen: Tidak terdeteksi. Indikasi Buzzer: Tidak. Topik: Isu politik. Alasan: Komentar ini berkonsentrasi pada kejadian politik dan tidak langsung berkaitan dengan kerus"
orang perintah bentuk lacur jalang rela jual harga jabat uang,"1. Komentar 1: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Kerusakan Alam, Alasan: Komentar tersebut tidak berkaitan dengan kerusakan alam, melancarkan topik tambang dan ""mafia"" tanpa konteks yang relevan.
   
2. Komentar 2: Sentimen Tidak Ada, Indikasi Buzzer Tidak, Topik Tidak Relevan, Alasan: Komentar ini hanya menyebut nama daerah tanpa konteks, tidak menunjukkan sentimen atau topik yang spesifik.

3. Komentar 3: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Isu Sosial, Alasan: Komentar ini mengkritik individu dengan kata-kata kasar tanpa berkaitan langsung dengan kerusakan alam di Raja Ampat.

4. Komentar 4: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Tidak Relevan, Alasan: Komentar ini menyangkal nama yang diberikan dan tidak berkaitan dengan topik kerusakan alam.

5. Komentar 5: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Kerusakan Alam, Alasan: Komentar ini menyampaikan kesebuahan dan kesakitan terhadap kerusakan alam di Raja Ampat, menunjukkan sentimen negatif.

6. Komentar 6: Sentimen Positif, Indikasi Buzzer Tidak, Topik Kerusakan Alam, Alasan: Komentar ini menunjukkan kepedulian terhadap pelestarian alam, menggambarkan keinginan untuk melindungi bumi.

7. Komentar 7: Sentimen Negatif, Indikasi Buzzer Tidak, Topik Kerusakan Alam, Alasan: Komentar ini menghubungkan tambang dengan kerusakan alam, men"
udah bang udh tinggl nunggu nuke aja,"1. Sentimen: Netral. Ini bukan tanggapan langsung terhadap kerusakan alam di Raja Ampat, tetapi diskusi politik dan sosial.
Indikasi buzzer: Tidak.
Topik: isu sosial.
Alasan: Komentar ini membahas Pancasila, Peduli Rakyat, dan kritik terhadap pemerintah tanpa mengacu langsung ke kerusakan alam.

2. Sentimen: Netral. Dengan menunjukkan kepedulian melalui saran nonton video, tetapi tidak mengacu langsung ke isu kerusakan alam.
Indikasi buzzer: Tidak.
Topik: konten settingan.
Alasan: Komentar ini mendorong untuk melihat video tanpa mengacu langsung pada isu kerusakan alam.

3. Sentimen: Negatif. Komentar ini menunjukkan kritik terhadap perilaku yang dianggap tidak adil dan biadab. Meskipun tidak mengacu langsung ke kerusakan alam, ini dapat diterima sebagai sentimen negatif karena kritik terhadap perilaku yang mengancam masyarakat.
Indikasi buzzer: Tidak.
Topik: isu sosial.
Alasan: Komentar ini mengkritik komplotan dan biadab yang dikatakan sengsara rakyat.

4. Sentimen: Negatif. Komentar ini menunjukkan kritikan terhadap rezim dan perilaku yang dianggap tidak patriotik dan halal.
Indikasi buzzer: Tidak.
Topik: isu sosial.
Alasan: Komentar ini mengkritik rezim komunis dan perilaku yang dianggap tidak patriotik.

5. Sentimen: Netral. Komentar ini tidak mengacu langsung ke kerusakan alam, tetapi menyampaikan kebimbangan tentang ekonom"
gak heran kalo menteri ipk,"1. **Komentar 1**: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini hanya menunjukkan ketidak pastiannya tentang apakah ancur akan mikir tentang masalah.

2. **Komentar 2**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini menyalahkan negara dan tidak menyadari kerusakan alam di Raja Ampat.

3. **Komentar 3**: Sentimen: Tidak relevan. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Eichiro Oda adalah penulis manga One Piece dan tidak terkait dengan kerusakan alam di Raja Ampat.

4. **Komentar 4**: Sentimen: Tidak relevan. Indikasi buzzer: Tidak. Topik: Konten settingan. Alasan: Komentar ini tidak berkaitan dengan kerusakan alam di Raja Ampat.

5. **Komentar 5**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Kerusakan alam. Alasan: Komentar ini menunjukkan kepedulian tentang ekosistem Raja Ampat yang mungkin rusak akibat tambang nikel.

6. **Komentar 6**: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: Tidak relevan. Alasan: Komentar ini bertematan dengan pembelian jersey Soviet dan tidak berkaitan dengan kerusakan alam.

7. **Komentar 7**: Sentimen: Negatif. Indikasi buzzer: Tidak. Topik: Isu sosial. Alasan: Komentar ini menghina masyarakat yang datang ke rumah Jokowi, menganggap mereka ""tolol"" (stupid"
menit organ tubuh nama otak pilih tambang nikel pilih buruk base on komparasi yg tambang nikel raja ampat like damn,"1. **Komentar 1**: Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: Konten Settingan. Alasan: Komentar tersebut terlalu tidak terkait dengan kerusakan alam Raja Ampat, bersifat tidak relevan dan mengandung bahasa kasar, menunjukkan tidak peduli terhadap isu pelestarian alam.

2. **Komentar 2**: Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini mengkritik kekurangan bekerja menteri tanpa menyebut langsung kerusakan alam, tetapi menunjukkan kekecewaan dan kritikan terhadap sistem yang tidak bekerja.

3. **Komentar 3**: Sentimen: Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam / Isu Sosial. Alasan: Komentar ini menunjukkan keinginan untuk peradilan atas korupsi yang berpotensi menyebabkan kerusakan alam, menunjukkan sentimen negatif terhadap situasi ini.

4. **Komentar 4**: Sentimen: Negatif. Indikasi Buzzer: Tidak. Topik: Isu Sosial. Alasan: Komentar ini menunjukkan kritikan terhadap individu yang dipertimbangkan sebagai koruptor, yang dapat dihubungi dengan isu-isu yang lebih besar, termasuk kerusakan alam, tetapi komentar ini lebih fokus pada aspek sosial korupsi.

5. **Komentar 5**: Sentimen: Negatif. Indikasi Buzzer: Ya. Topik: Kerusakan Alam. Alasan: Komentar ini menunjukkan kebimbangan dan sentimen negatif terhadap akibat yang mungkin cukup parah untuk alam, seperti ""doomsday coming soon,"" yang se"
